string,hash,bin_offset
shotFinesseTargetGoalieDistMax,64 5F 7E F2 73 CE 3A 02,26900
shotFinesseTargetGoalieDistMin,F3 21 51 82 E7 C1 BB A6,26980
shotFinesseWeakFootScore,40 E0 0C E8 C9 BB DC 9C,27060
shotMaxDistBySkill,67 D3 CA F3 AA 2B 45 E0,27140
shotMaxDistScore,28 83 BB 80 DE BD 1E 04,27220
shotMinDistBySkill,AF 62 38 B9 DC EF 56 53,27300
shotRandomScoreBoost,A3 E7 39 00 B1 5C BD 01,27380
shotRandomScoreBoostAbsolute,79 FF 1E D8 2E 14 1A 4B,27460
shotRandomScoreBoostMaxScore,F6 5A CD 8C 17 72 1B 3C,27540
turningShotEasynessByDistanceStrongFoot,D1 07 9B 0E 60 9B FA 77,27620
turningShotEasynessByDistanceWeakFoot,C6 02 02 24 BE 32 1B 88,27700
shotPowerForHigh,F5 80 79 E8 8A F8 22 49,24660
shotPowerForLow,FD 01 79 2C F9 DA 03 20,24740
shotPowerForMiddle,48 CE 83 37 5C 2C 5A 7B,24820
shotPowerForMiddleHigh,5A 95 B4 27 82 EC CF 54,24900
shotPowerForMiddleLow,5F 93 60 90 C4 FD A4 6F,24980
PredictionPointMaxMovementDistance,F1 46 CD E3 5D EA D6 C4,24232
PredictionPointMaxSpaceDistance,52 98 6A 5F E5 B5 FF 69,24260
PredictionPointMinMovementDelta,BD 20 30 1D 77 7F 89 01,24288
CrossReceiverDistFromPKSpot,9B 5F F7 BA 6A 88 FD A2,
DribbleTTDistToTargetWeight,A8 91 87 57 C8 FB 18 4E,32312
FinesseShotProbability,8F 65 D5 DA B3 9B 49 06,
GroundPassDecisionDistToTargetMod,62 BB A7 2B E8 43 9C 39,
GroundPassDecisionDribbleMinSpace,E5 C0 82 9F BB 9F FD DD,
GroundPassDecisionMinCourseSafety,97 2A B3 0D FA 8A 74 6F,
GroundPassDecisionSpaceRatingMod,5A 96 C1 AD 87 33 2A 52,
OneTimePassProbabilityMod,9C C3 DB 11 72 6F 0A 1A,
SlideTackleProbability,D5 B2 D0 D3 30 C8 2A 37,
ThroughPassMod,87 7B 19 B6 79 72 94 9F,
TraitDivesTacklesSlideTackleProbability,F6 C2 F8 1D DE D4 15 55,
TraitEarlyCrosserCrossReceiverDistFromPKSpot,81 48 ED 7E D5 97 25 5D,
TraitFinesseShotProbability,20 35 40 8E DF 3E 46 BF,
TraitLateCrosserCrossReceiverDistFromPKSpot,67 2E C2 12 8B 79 04 44,
TraitLongPasserMinRatingMod,EE 97 D4 CE B8 09 B4 CE,
TraitLongPasserMinSpaceMod,9A 60 B2 E7 B1 A9 BE AA,
TraitLongShotTakerMaxShotFreedomWeight,E3 4B FC F6 91 12 C8 EB,
